Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1,0.20292241128076516,14,140.3154,1,2,4,50.524025967850186
1,0.2002028795996701,13,227.0694,2,1,3,33.791226672022425
1,0.18790242680710648,9,47.5034,1,2,4,26.085390547200937
1,0.25103355751771517,14,159.0578,1,2,4,45.672216937652586
2,0.4146550144397147,3,92.512,1,1,1,13.653717442513596
2,0.20049421936804063,3,190.153,1,2,4,55.10034482650721
1,0.22149043771684593,1,62.7194,1,2,4,29.442683301628605
1,0.10775416465269451,5,95.041,1,2,4,29.476583926907132
1,0.42837751458264006,14,82.4276,1,3,4,33.72219447189047
1,0.31992111371399046,4,52.7956,1,2,4,30.465147299824434
1,0.294463897617348,7,151.7682,3,1,4,27.61052335614086
1,0.18120471020368098,9,40.2822,1,2,4,26.59096839154227
1,0.18387472093792556,3,180.5976,2,1,2,89.26530344988471
1,0.269572105381844,9,160.292,1,3,4,37.922658134682486
1,0.37991906111697005,8,224.4404,2,1,2,83.5239630285824
1,0.09572468856047535,5,101.7016,1,1,1,10.05990059593036
1,0.10633455694175813,3,188.5188,2,1,3,30.856020482233284
1,0.2772284761708292,9,116.0492,1,3,4,44.37833255091949
1,0.24486093195934708,15,165.4526,2,1,2,72.5429748493953
1,0.19629585324198776,4,60.5852,1,2,4,36.25312676170153
1,0.20786914393435116,6,90.8172,1,2,4,23.13662032363413
1,0.2383620460559944,11,132.1284,1,1,1,16.23751212470679
1,0.14094929939520806,9,154.5972,1,2,4,37.44562457751239
1,0.2198447565897354,9,105.1622,1,2,4,41.155743220114495
1,0.30202955981161844,11,105.5938,1,2,4,46.30200859574021
1,0.16619890493020706,9,177.6344,2,3,4,51.735055813249105
2,0.0,5,53.06399999999999,1,2,4,30.091327654325923
1,0.19838333347335407,5,246.3802,2,3,4,85.85106871786745
1,0.24665061118918802,15,226.8404,1,2,4,79.37966490229094
1,0.28690853246287396,8,160.692,1,2,4,39.973991544503036
1,0.3941450228025212,13,178.237,1,2,4,23.006759876175526
1,0.2772022636992707,9,117.5492,1,2,4,44.37833255091949
1,0.38912618133453836,14,50.3692,1,2,4,32.16602555492363
2,0.16125128216544513,5,161.52100000000002,2,1,3,42.359544379041665
2,0.2705724431644878,5,197.6426,2,1,3,52.61555283373919
1,0.20416532761465644,14,31.29,2,1,2,29.980493658377277
1,0.20630136208954122,6,226.172,1,3,4,56.29571919782178
1,0.11866404678755904,9,223.5746,2,1,3,59.91655530819508
2,0.0,0,132.5626,2,1,3,16.19645640255917
1,0.39104780270447753,2,99.8358,1,2,4,43.705608335773114
1,0.17598089100808645,14,140.9154,1,2,4,41.25269445745332
2,0.24571686144829377,5,154.5656,3,1,4,49.7136761867396
2,0.2047507020744984,13,54.763999999999996,3,1,4,36.491094804075146
1,0.27815001527952504,6,97.0094,2,1,2,42.5320890622598
1,0.2140986011164015,3,222.5456,2,1,3,57.581976346770176
1,0.26660446170310054,14,114.2518,1,3,4,51.17217407927867
2,0.30766844329570103,10,214.55599999999998,1,3,4,52.6282053655642
2,0.2785836283775484,14,233.4958,1,2,4,73.31441468087978
1,0.1460392995053044,3,216.8824,1,2,4,53.281996959573505
2,0.20611997477197597,3,125.0046,2,1,3,41.75002275448482
1,0.15993287967144218,9,198.8084,2,1,2,74.53479187600915
1,0.22131606358328354,1,61.9194,2,1,3,24.883609062995664
1,0.1395409903935041,11,164.821,1,2,4,46.04967969486867
1,0.35059784939443084,6,173.0738,1,2,4,61.83060407274055
2,0.23952828016749922,10,151.4366,3,1,4,36.88128793846549
2,0.21013233211478904,6,178.8318,3,1,4,63.00396495459631
1,0.5402456867018931,6,115.1834,1,1,1,18.588980606800362
1,0.0,1,196.5794,1,1,1,24.1916969227047
2,0.254460262123578,15,92.6804,1,2,4,31.79126295069134
1,0.313548115924813,8,81.4618,1,1,1,12.693447128341457
2,0.4370510988431444,14,42.1112,1,3,1,6.527725484424111
1,0.42020594355625196,0,157.4604,1,2,4,54.87027975142828
2,0.24522324726664885,5,153.0656,2,1,2,77.61545206980374
1,0.08540873491628359,10,198.1426,1,2,4,31.443807021415203
1,0.3584389236676173,8,117.944,1,3,1,15.481860353329635
2,0.27405776033529866,4,112.8176,3,1,4,37.07035473258922
2,0.2222192745915619,0,226.8062,2,1,2,68.84642474377301
2,0.21252245998952674,13,100.0016,2,1,3,31.812198918025143
2,0.3068448304925471,6,165.7526,1,3,1,25.64781472172629
1,0.17002303373366798,8,130.431,2,3,4,27.910320671751517
2,0.13438608930986867,5,179.766,1,2,4,48.34209345901355
1,0.3007259450064128,9,85.0882,2,3,4,47.25561553931977
1,0.3826221530439658,10,103.9648,2,3,4,40.76563258432279
2,0.2725148729886132,13,264.7568,2,3,4,68.88992959787373
2,0.22402394068491874,6,164.1526,1,2,4,55.89811624732984
1,0.14363723054974292,6,50.1324,2,1,3,21.619241429800446
1,0.1249443075934234,9,182.5976,2,1,2,71.20907807295359
1,0.20345870588401962,6,37.6164,1,3,4,23.25144296597525
2,0.3119505233206061,5,48.0718,1,3,4,31.50726582869418
1,0.24409628428142857,11,238.8538,2,3,4,77.51674012753632
2,0.3141077076418215,4,62.9194,2,1,2,45.88310800283695
2,0.3183373226626121,3,232.63,2,1,2,73.20990370161677
1,0.22835598525109868,8,104.62799999999999,1,2,4,27.30743488502719
2,0.20436361466758216,0,161.8868,1,2,4,57.234045811911635
1,0.23311839481259303,13,140.2154,1,2,4,41.25269445745332
1,0.2799329991265767,0,177.937,2,1,2,81.88165850787342
1,0.2287773349787955,10,242.7512,1,3,4,64.18699556763815
2,0.20607028412655717,0,81.5934,1,1,1,18.098994447206177
1,0.2563842487361499,5,45.7402,2,3,4,27.946080226035278
1,0.15370463233097434,14,189.3846,1,2,4,60.25452182201764
2,0.2272523003183906,13,107.3622,1,3,1,17.820959570124163
1,0.4070555478064388,5,39.7164,1,1,1,15.221642486932874
1,0.2046421193205348,14,32.99,1,2,4,11.539497389401324
1,0.2410217459068787,4,245.1802,1,2,4,75.17076958499227
2,0.0,13,263.7568,1,2,4,51.34752184867347
1,0.16402351660661346,9,96.0726,1,2,4,35.66992851128244
1,0.0,9,161.5552,1,1,1,18.025271149139478
2,0.3880138025895471,13,130.0626,1,1,1,11.452624153441866
2,0.0,6,131.2968,1,1,1,16.155296345161855
2,0.3673902938293281,5,260.0936,1,1,1,16.155296345161855
1,0.3951819707425935,10,160.6578,3,1,4,60.749727571405614
1,0.0,10,40.2822,1,2,4,33.75179698919748
2,0.36565113427965734,0,52.9298,2,3,4,44.66992948281875
2,0.3392932433751076,0,88.3514,1,2,4,37.640701374974405
2,0.3317092054797394,5,37.2506,1,3,4,16.29890180349584
1,0.2259160131553317,3,121.7072,1,2,4,59.60460384903166
1,0.25067502468335373,14,161.5578,3,1,4,49.05983081911311
1,0.1308318883147377,11,211.956,1,3,1,14.596437921630057
1,0.15533619024554454,6,124.17299999999999,3,1,4,54.3705067108998
1,0.2230582323071713,4,152.134,1,3,1,12.374732320337277
1,0.0,3,79.7644,1,2,4,40.618375152140196
1,0.3186872573542908,3,181.9292,2,1,2,55.68928442707807
1,0.07713393546293357,9,165.6526,2,1,2,69.05885460967333
2,0.3735788537912712,12,170.4764,2,1,2,58.61337731269202
1,0.3550150616523192,6,86.4198,1,2,4,33.672799111448995
1,0.16481710772853647,3,152.334,1,2,4,51.02232844549531
1,0.3151591312337309,9,45.406000000000006,1,3,4,24.614589169839906
1,0.20874304778842337,7,192.8846,2,1,2,47.88543828764649
2,0.2876481913727253,13,118.7782,1,3,1,10.916876842760479
2,0.254096835871681,15,92.9804,3,1,4,43.92594222097006
1,0.2907826834596586,13,109.8912,2,1,2,45.548137173763756
1,0.2417680810198071,8,79.9618,2,1,2,15.546234270716493
1,0.337266489589464,9,251.3724,1,2,4,82.43272893699444
1,0.14353923157102383,9,42.7112,1,2,4,25.281772089788326
1,0.22813368010883445,8,192.1846,1,2,4,56.995071716772145
2,0.25052829979864555,6,227.6062,1,2,4,84.98587176701784
1,0.2966096121166676,4,229.0668,1,2,4,56.79027381515254
1,0.10005211142199849,13,249.0408,1,2,4,61.2789686597286
1,0.1842448452467531,3,179.3976,3,1,4,58.658796441795495
2,0.24169128656201075,6,163.4552,1,2,4,31.220685450515013
1,0.16464039297815103,10,75.367,2,3,4,23.151004297870106
1,0.1643863832560349,5,262.491,1,2,4,72.52461651053386
1,0.24115017934888625,4,152.034,1,3,1,17.500514278157656
1,0.35907890637017376,6,112.3886,2,1,3,42.178402056028624
1,0.29807097476943306,6,61.451,2,3,4,27.550172413253605
2,0.3059048708340552,13,125.9704,3,1,4,43.33077428341201
2,0.4070561116111635,6,171.8764,1,2,4,61.47422874668702
1,0.38521763069724624,5,41.5796,1,3,1,6.424920232967877
1,0.3137489346595459,3,51.1324,1,2,4,16.114031153004515
1,0.37855421144137336,8,96.34100000000001,3,1,4,13.895394920620284
2,0.27618147656930214,10,110.9202,1,2,4,41.082879645906026
1,0.4184536234757682,0,127.5362,1,2,4,68.23444438111883
2,0.15333418079475952,10,225.9404,3,1,4,70.36255254039608
1,0.24708856711713717,14,95.4436,1,2,4,37.658385520359204
2,0.22261860209784806,5,246.4144,1,2,4,35.00102855631531
2,0.34556927525461517,4,231.03,1,2,4,73.20990370161677
1,0.26934290597674926,2,176.237,1,2,4,42.00440453095366
1,0.30081028572839724,9,195.21099999999998,3,1,4,50.530614482707406
1,0.2371604414736994,5,43.3454,3,1,4,31.728372161206128
1,0.12090894507851767,0,85.225,3,1,4,32.89262835347762
1,0.20851648855666066,15,36.7164,1,2,4,17.57643877467788
1,0.21252349752439142,5,178.666,3,1,4,50.16696123944523
2,0.2404726616478472,5,128.83100000000002,1,3,4,37.790752837169045
1,0.29898957506909835,4,260.1594,3,1,4,45.75232453110989
1,0.3248221667312747,6,85.6908,3,1,4,43.92594222097006
1,0.07234744639584731,4,264.0884,1,2,4,76.35276550328744
1,0.1907620874282938,13,91.4488,1,3,4,45.63575790977948
1,0.18146140085428636,10,173.1738,2,1,2,85.43125657509668
1,0.2850483011701701,6,256.4988,3,1,4,86.33055774174055
2,0.27668105645309365,10,110.5202,1,2,4,21.21510782437836
1,0.12945489175770838,13,250.4408,1,1,1,22.375915623723646
1,0.21035250176786585,13,126.20200000000001,2,1,2,60.5686222395722
2,0.1956734192474798,6,103.1964,2,1,3,27.136226708958635
1,0.43131505654219865,9,253.0698,1,2,4,78.02611870393144
1,0.17851460444456638,9,101.0016,2,1,2,46.10025596458224
1,0.1461855020171289,14,153.0024,1,2,4,47.71829837703771
1,0.4401960563203628,6,190.3846,1,3,1,23.942719143823243
2,0.09932798699258935,10,151.1366,1,2,4,47.61353799078577
1,0.287316971305212,6,147.3734,1,1,1,17.232144381939236
1,0.3158003926533341,9,46.306000000000004,2,1,3,23.648932322622937
2,0.13711874051346884,6,222.1772,1,2,4,74.56158528357615
1,0.34600787707796477,9,95.5094,2,3,4,35.18127627019804
1,0.26687466533936866,14,113.5518,1,2,4,23.859149188518856
2,0.24570706542547774,2,174.0712,2,1,2,62.18493708286597
1,0.18244873526555344,6,198.4768,1,2,4,37.142127025791076
1,0.24204259955635907,4,142.7128,2,1,3,43.23848285960089
2,0.3417497915142012,0,196.21099999999998,2,1,2,74.1586677334484
1,0.1773478643795859,0,94.3462,2,3,4,30.421406936563603
1,0.08493497512803545,0,47.9034,1,2,4,24.150378879015545
1,0.28495020442175506,11,141.4154,1,3,4,37.658385520359204
2,0.2234197036968763,6,80.2644,1,2,4,30.704605517739516
1,0.21510683392212346,0,99.3384,1,3,4,48.63045959067218
2,0.16576236002180952,3,87.9856,2,1,2,57.02426851788631
2,0.32358080443685155,6,125.2678,1,3,1,15.947902683425179
1,0.11198215482834754,9,167.0474,1,2,4,76.7831947759404
1,0.38343687094487927,1,93.7436,2,1,3,33.68268397856679
1,0.39957176576930453,14,224.972,1,2,4,87.73054200220126
1,0.3760300865622324,7,250.5382,1,2,4,52.68510415667791
1,0.3857742967072845,6,241.2854,1,2,4,72.91830222927575
1,0.0,5,98.0068,2,1,3,29.57805267423804
1,0.1723129768763804,0,92.6436,1,3,4,32.24871470306995
1,0.3109911944091022,6,235.0958,1,2,4,55.11846695981303
2,0.12161644214496656,4,193.6162,1,2,4,62.03486116692775
2,0.23319145138705236,3,59.1904,1,3,4,22.96330986595791
2,0.35132405838484787,13,89.1514,1,3,4,48.89670541048753
2,0.17304179552928822,3,60.222,2,1,2,40.96115232754079
2,0.22884068912673725,5,112.7176,3,1,4,28.312951100159093
1,0.3063676614788186,13,115.5834,1,2,4,35.595187877015064
1,0.1843058517790469,13,148.0076,1,2,4,29.779952988545833
2,0.41611786671566986,6,228.27200000000002,1,1,1,21.27778183928015
1,0.3738117520892033,5,147.5392,1,2,4,62.270532356805816
1,0.20821118125595464,6,146.6418,2,1,2,66.43985249833115
1,0.2051503156224723,7,122.4388,2,1,2,73.81671355458735
2,0.35844482141607237,0,223.9404,2,3,4,70.36255254039608
1,0.22216452687141572,14,62.6168,1,2,4,30.96372070665927
2,0.09125094520058409,4,149.9708,1,2,4,44.228049923097444
1,0.14616071633650404,6,103.2306,2,3,4,49.032680938329285
1,0.3891284286710494,11,194.3478,1,1,1,19.684907924600513
1,0.18031033802863328,10,165.0842,3,1,4,31.538947350854944
2,0.14941103707557885,1,101.29899999999999,1,2,4,41.885355435999344
1,0.13889692221212102,8,129.9994,2,1,2,57.80124912145065
1,0.2193728401603079,1,216.7166,1,2,4,62.601108616381545
1,0.30432395567881276,4,76.367,3,1,4,17.500514278157656
1,0.3077292218818356,0,158.4604,2,1,2,65.40971487477988
1,0.18969476534685925,6,260.6278,1,2,4,66.52497726418251
2,0.23790120848789315,13,230.9984,2,1,2,96.27011997499535
1,0.45243784103454476,5,76.867,1,3,1,15.155889944176819
2,0.14359082143368357,2,129.3994,2,1,2,45.343030335433035
1,0.2170212201606101,11,101.3016,1,3,4,57.7897291912672
2,0.2959461538861419,6,221.7456,1,2,4,80.06448900729961
2,0.1951381536245539,5,122.9046,1,2,4,44.632651724942356
2,0.3083862707709278,2,104.4332,1,2,4,53.58105635390179
2,0.10933390142128835,3,164.5184,2,1,2,52.981249513389166
2,0.25059804268988217,0,88.18299999999999,3,1,4,23.22279052999445
1,0.17642479700994415,9,174.3054,3,1,4,66.1636985060539
1,0.16126342114689246,9,180.9976,1,2,4,52.119708364494905
1,0.3040788055751338,13,190.9504,1,3,1,19.583176453272333
1,0.328276049994513,14,59.5904,2,3,4,26.51574626519118
1,0.10318661250375458,10,66.3826,2,3,4,44.01679225023105
1,0.12549637843380182,9,182.2608,2,3,4,57.51255862852913
1,0.27861811319438656,9,197.611,2,3,4,56.05868353787841
1,0.0,3,181.2292,2,1,3,50.5372021386226
2,0.23810865376966037,1,104.0648,2,1,3,43.23848285960089
2,0.25296851187450187,1,260.4594,1,2,4,74.12723790888205
2,0.2636840192351444,10,233.1616,3,1,4,78.0602434021314
1,0.18561505596260233,14,174.0422,1,3,4,50.8589520143701
2,0.25826474788480136,13,55.2956,2,3,4,35.43584061370634
2,0.18627865417164685,3,141.7496,1,3,4,63.97920287093299
1,0.24155111053356804,4,142.2128,1,3,4,56.248391977015665
2,0.25534898276672263,10,166.0816,2,1,2,70.94679696786882
2,0.2809440709465142,5,79.9276,1,3,4,33.72219447189047
1,0.4272176038039631,6,98.77,2,1,2,51.927738252305964
1,0.12998189489309656,7,178.56599999999997,2,1,3,29.980493658377277
1,0.27088695981903593,8,118.244,1,3,4,52.50154283447297
1,0.28417878175542943,0,81.896,1,2,4,29.645505561551822
1,0.33506939281289183,13,58.222,2,3,4,25.673760924336737
1,0.3920986929332971,4,182.6292,1,3,1,13.506635406347504
1,0.35767236544077596,6,211.4902,3,1,4,60.088546329562675
2,0.27997435596854225,6,256.4646,1,2,4,71.78643325865968
2,0.2801823388438322,10,108.7596,1,2,4,50.878584885981255
2,0.21836856687719503,4,212.5876,2,1,3,35.865381637450895
2,0.3509411004712899,6,110.1544,1,2,4,35.077035222492796
2,0.0,6,60.2194,2,1,2,41.63824203781903
1,0.23106913251232844,8,193.8162,1,3,1,19.61714556198225
1,0.19161395304100376,9,180.0318,1,2,4,63.00396495459631
1,0.25541521489527597,13,176.437,1,2,4,88.1091822683652
2,0.20481100312239087,10,41.2112,3,1,4,28.45369571777979
1,0.2879036227628961,3,178.6002,2,1,3,35.40764606691611
1,0.23535105905859016,4,195.2768,1,3,4,75.59912168801964
2,0.11042896359198523,6,57.7904,3,1,4,38.272183109929856
1,0.24595780735727824,4,169.8106,3,1,4,57.0184303537023
2,0.0,5,214.3218,1,2,4,65.37917099505009
2,0.1214652666403034,6,231.7958,2,1,2,73.31441468087978
1,0.40088338578693933,6,38.019,2,1,2,36.308180896321424
2,0.29261299014226966,10,119.4124,2,1,3,47.452456206186
2,0.2152926125067927,5,37.4506,1,2,4,34.299688045228635
2,0.3208128519869489,6,130.4968,1,3,4,59.35834903364479
1,0.16310972074036545,13,86.2198,1,2,4,24.70907930296068
1,0.0,3,96.4094,1,2,4,35.18127627019804
1,0.17849460776169124,13,235.1248,1,1,1,21.772680129005707
2,0.0,13,52.6666,2,1,2,26.790528176950897
1,0.14577380423107575,14,150.5024,1,3,4,50.80000787401514
1,0.3999211772337144,5,143.2154,1,3,4,50.524025967850186
1,0.3598654554135476,6,164.021,1,2,4,62.569193697857415
2,0.3777417715847693,6,88.5514,1,3,4,28.230526031230802
1,0.42365600550446586,4,228.9352,1,3,1,30.267817892937046
1,0.2986018352254386,9,191.3504,1,2,4,57.0942799236491
1,0.3252099183604338,6,84.8908,2,3,4,40.96115232754079
2,0.23866464757060274,13,230.0984,2,3,4,60.886569947731495
2,0.0839105476087482,15,173.5738,1,3,4,54.35213519264905
2,0.10500759020185159,13,166.4842,2,1,3,51.50288535606525
1,0.30529208473198255,9,52.7956,1,2,4,32.20739666598342
1,0.164063384092856,11,50.9666,2,1,2,26.790528176950897
1,0.18778790695888806,8,86.1224,1,2,4,20.64248047110618
1,0.12612860103878104,1,231.1668,1,2,4,83.1324485384618
1,0.1331137746440991,8,211.0244,1,3,4,61.73361483017174
2,0.1879739370231948,13,115.3518,2,1,2,47.71829837703771
1,0.2562274263227885,0,48.9034,1,3,1,6.971613873415538
1,0.23857711122402334,13,212.8218,2,3,4,75.9637321358028
2,0.21941579706119613,0,40.2138,1,3,4,26.276122240543792
1,0.14848337617390034,4,110.2886,3,1,4,43.47650169919378
1,0.30071127015793736,7,126.2336,2,1,2,56.53176098442361
1,0.16667109527449564,0,150.1708,1,3,4,38.79056586336425
1,0.0,9,238.3248,1,1,1,26.665978324449302
1,0.08963041336510727,4,174.2422,2,1,3,65.65862471907252
1,0.18190236941832286,10,175.4738,1,3,4,22.83246373039931
1,0.4008279194367578,9,59.4562,1,3,4,28.802548498353406
1,0.42305522216372654,4,155.5288,1,2,4,39.6394752740245
2,0.13277005686524354,15,239.6538,1,2,4,49.025891118877176
1,0.1393405899226783,1,41.6454,1,3,1,9.159192104110494
1,0.13035806457599775,6,211.0586,1,2,4,29.055712002978005
1,0.1647392272653966,9,127.3336,1,2,4,54.22336027949577
1,0.1943514599893708,5,98.0068,1,1,1,17.07689667357626
1,0.19169371142528385,5,181.2976,1,2,4,57.0942799236491
2,0.14986694765691333,6,226.8036,2,3,4,58.442741208810524
2,0.0,4,256.7672,2,1,3,74.99785596935422
1,0.22833254257770616,8,190.1846,2,3,4,81.7799547566517
2,0.2500168754304397,6,227.1062,2,3,4,75.11760778938584
1,0.08549587124534143,10,196.2426,2,1,3,70.31048997126958
1,0.12499501590063501,6,182.6266,2,1,3,55.99332281620729
2,0.37812461305765327,6,87.4514,1,2,4,28.230526031230802
1,0.13111466355827636,4,51.535,1,2,4,29.13580271761875
1,0.37893658968223165,0,37.3164,1,3,1,6.21420952334245
2,0.10952292454093801,3,184.5924,1,3,4,70.69296146010578
2,0.39644969416055803,13,149.1418,2,3,4,24.26040395376796
1,0.24777630031946155,4,91.81200000000001,1,3,1,19.309272384012818
2,0.513930607183499,10,155.7314,1,3,1,12.455175631037886
1,0.14251331867583464,14,218.0508,3,1,4,55.12450634699598
1,0.23373239826776263,8,200.2084,1,3,4,39.84052208493257
